start_date,end_date,sigma_hedge,realized_vol,vol_gap,initial_premium,hedging_pnl,pnl_pct_of_premium
2024-10-10 00:00:00-04:00,2024-11-07 00:00:00-05:00,0.09731532834479326,0.13990853118277025,-0.04259320283797699,7.0793810112857045,-6.3844423806085615,-0.9018362439358334
2024-10-17 00:00:00-04:00,2024-11-14 00:00:00-05:00,0.08919602355837233,0.13641674815877827,-0.04722072460040594,6.639579686118964,-5.689471224836211,-0.8569023181890418
2024-10-24 00:00:00-04:00,2024-11-21 00:00:00-05:00,0.09547447089285897,0.1414562112102044,-0.045981740317345435,7.001125516868228,-4.439837233251978,-0.6341604964165853
2024-10-31 00:00:00-04:00,2024-11-29 00:00:00-05:00,0.11546599649772689,0.11820817932878255,-0.0027421828310556645,8.115975919764082,-1.4140617965573483,-0.1742318866562695
2024-11-07 00:00:00-05:00,2024-12-06 00:00:00-05:00,0.13990853118277025,0.07457637910409833,0.06533215207867192,10.095405443789616,3.971970066932272,0.39344334301855166
2024-11-14 00:00:00-05:00,2024-12-13 00:00:00-05:00,0.13641674815877827,0.07934781437486708,0.05706893378391119,9.830054366969591,3.0213595048840034,0.30735938908295457
2024-11-21 00:00:00-05:00,2024-12-20 00:00:00-05:00,0.1414562112102044,0.13427689852271754,0.007179312687486866,10.163219377381154,-0.6458602462160883,-0.06354878530453534
2024-11-29 00:00:00-05:00,2024-12-30 00:00:00-05:00,0.11820817932878255,0.1476567387727602,-0.029448559443977645,8.780810294715309,-3.6243372702480485,-0.41275658493947187
2024-12-06 00:00:00-05:00,2025-01-07 00:00:00-05:00,0.07457637910409833,0.15924651677919194,-0.08467013767509361,5.961741024774142,-5.817927506152746,-0.9758772616885275
2024-12-13 00:00:00-05:00,2025-01-15 00:00:00-05:00,0.07934781437486708,0.17791284091322135,-0.09856502653835426,6.2401705766204145,-7.129466338110311,-1.1425114507000427
2024-12-20 00:00:00-05:00,2025-01-23 00:00:00-05:00,0.13427689852271754,0.14129307979711817,-0.0070161812744006236,9.68749642516002,-1.2120141563412972,-0.1251111848870981
2024-12-30 00:00:00-05:00,2025-01-30 00:00:00-05:00,0.1476567387727602,0.13845977267732365,0.009196966095436548,10.504949755860082,0.14900747243393653,0.014184501201523043
2025-01-07 00:00:00-05:00,2025-02-06 00:00:00-05:00,0.15924651677919194,0.12889055196177757,0.03035596481741437,11.26280954131596,1.5299705751957617,0.1358427104341319
2025-01-15 00:00:00-05:00,2025-02-13 00:00:00-05:00,0.17791284091322135,0.11167006245599981,0.06624277845722154,12.56001590136691,4.3109022497012575,0.34322426687629437
