expiry,T,strike,option_type,mid_price,bid,ask,volume,open_interest,yahoo_iv,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-18,0.01643835616438356,762.0,call,6.305,6.27,6.34,1493.0,4347,0.1212856427001953,0.9970037837821003,0.12267988388088269,0.5946543688668295,0.03224706243087362,37.987282823614535,-159.28746040187343,7.367397798652409
2026-09-18,0.01643835616438356,763.0,call,5.655,5.62,5.69,1372.0,3081,0.11893581268310546,0.9983121876978248,0.12065598638500387,0.5629736575559785,0.033320976538956444,38.60480035064624,-158.29318566827163,6.980056841368705
2026-09-18,0.01643835616438356,764.0,call,5.045,5.01,5.08,5564.0,6143,0.11683012084960936,0.9996205916135493,0.11885383588978565,0.5297864252635867,0.034158338134473804,38.98384320070582,-156.57868962241358,6.5731308377185895
2026-09-18,0.01643835616438356,765.0,call,4.46,4.43,4.49,16053.0,19272,0.11448029083251954,1.000928995529274,0.11684016206832543,0.4953895639214938,0.034841877917726645,39.090247570016,-153.56330327737132,6.1505963658910385
2026-09-18,0.01643835616438356,766.0,call,3.925,3.9,3.95,5750.0,3860,0.1124966680908203,1.0022373994449985,0.1152140024035912,0.46002758695137036,0.035158482760559225,38.89646240516735,-149.91407742346206,5.715114646495477
2026-09-18,0.01643835616438356,767.0,call,3.425,3.4,3.45,3423.0,6934,0.11066563171386719,1.003545803360723,0.11355876860219577,0.42400932551476245,0.03519869138099201,38.38149682576995,-145.11941611207507,5.270812278713955
2026-09-18,0.01643835616438356,768.0,call,2.955,2.93,2.98,1724.0,4207,0.10865149169921876,1.0048542072764475,0.11171331047244103,0.3874316458972491,0.034982722540854,37.526083694072575,-138.98278607553948,4.818988341820682
2026-09-18,0.01643835616438356,769.0,call,2.52,2.5,2.54,2242.0,4388,0.106454248046875,1.006162611192172,0.10977642021471634,0.3505749280686904,0.034453435581414824,36.31753090504804,-131.65134655620903,4.36308337987808
2026-09-18,0.01643835616438356,770.0,call,2.16,2.15,2.17,16151.0,24125,0.10511148803710937,1.0074710151078965,0.10886909576750341,0.31554770398681664,0.033323350793253395,34.83597709364281,-124.70953318914844,3.928930648594615
2026-09-18,0.01643835616438356,771.0,call,1.81,1.79,1.83,1785.0,3772,0.10358562438964843,1.0087794190236212,0.10718416588542377,0.2801505361180048,0.0320582180614303,32.994741242505405,-115.87650556685836,3.4899656663133167
2026-09-18,0.01643835616438356,772.0,call,1.5150000000000001,1.5,1.53,2471.0,3382,0.10218182983398436,1.0100878229393457,0.10605312764036869,0.2469631740238542,0.03037963980532788,30.93718660283422,-107.12320283911679,3.07785991922454
2026-09-18,0.01643835616438356,773.0,call,1.255,1.24,1.27,3605.0,4376,0.10102217346191406,1.0113962268550702,0.104940047709428,0.21543929783588234,0.028447988145673012,28.666028688858955,-97.89381858028443,2.6860783061814044
2026-09-18,0.01643835616438356,774.0,call,1.03,1.02,1.04,2770.0,4637,0.09974044799804688,1.0127046307707948,0.10390970179509565,0.18601610121193773,0.02630446508405285,26.24582861824672,-88.47503632132089,2.3201135620979776
2026-09-18,0.01643835616438356,775.0,call,0.84,0.83,0.85,22391.0,47090,0.09882492980957032,1.0140130346865193,0.10306771632988797,0.1591927056059098,0.024011279663582814,23.76362416364853,-79.22645439801879,1.9862365392255772
2026-09-18,0.01643835616438356,776.0,call,0.675,0.66,0.69,2755.0,3969,0.09803148071289064,1.0153214386022438,0.1021125191873624,0.13442126086996625,0.021634660919173238,21.213083384640314,-69.87987133892865,1.6777285951954835
2026-09-18,0.01643835616438356,777.0,call,0.54,0.53,0.55,2243.0,5265,0.09705492797851564,1.0166298425179683,0.10139141680561019,0.11261162420387111,0.019246266589301758,18.737964181291932,-61.13438228596482,1.405938671290167
2026-09-18,0.01643835616438356,778.0,call,0.43,0.42,0.44,2405.0,3801,0.09656665161132813,1.017938246433693,0.10085319017596664,0.09362393955965953,0.016919350875300047,16.38506063283538,-53.04625890873469,1.1691918695887633
2026-09-18,0.01643835616438356,779.0,call,0.345,0.34,0.35,2927.0,41633,0.09607837524414065,1.0192466503494175,0.10075627824061767,0.07787948832452578,0.014754184420191259,14.274537315049821,-46.06236424991991,0.972781025788143
2026-09-18,0.01643835616438356,780.0,call,0.275,0.27,0.28,24779.0,32067,0.09595630615234377,1.020555054265142,0.10069100659259107,0.0642830074743069,0.01274029748473638,12.318135211187252,-39.6382951784014,0.8031100473977468
2026-09-18,0.01643835616438356,781.0,call,0.215,0.21,0.22,2501.0,3460,0.09571216796875001,1.0218634581808665,0.10038892135409366,0.05219469018062584,0.01084882854521509,10.45787265447691,-33.485632363690435,0.6522226620648799
2026-09-18,0.01643835616438356,782.0,call,0.165,0.16,0.17,2082.0,7353,0.09522389160156251,1.023171862096591,0.09992083548202636,0.041682588053399666,0.009100179454930864,8.73133655936554,-27.776921878437516,0.5209739966335436
2026-09-18,0.01643835616438356,783.0,call,0.135,0.13,0.14,1348.0,3221,0.09595630615234377,1.0244802660123156,0.1007875173817961,0.0347326078441662,0.0077746867525554176,7.524269860622127,-24.100008593753483,0.4341498769157599
2026-09-18,0.01643835616438356,784.0,call,0.10500000000000001,0.1,0.11,1155.0,4359,0.09620044433593751,1.02578866992804,0.10082647591664365,0.02784795440109807,0.006473575896765065,6.267488527025762,-20.049897956624903,0.34814650612532766
2026-09-18,0.01643835616438356,785.0,call,0.08499999999999999,0.08,0.09,6761.0,20868,0.09693285888671876,1.0270970738437648,0.101613014961971,0.022948520318487816,0.005462122551955989,5.329488054372062,-17.154992106547407,0.2869203995367696
2026-09-18,0.01643835616438356,786.0,call,0.07500000000000001,0.07,0.08,1362.0,2363,0.09888596435546876,1.0284054777594893,0.10375996311027948,0.020159998570169084,0.0047943087210573585,4.77672809214651,-15.675491355294652,0.2520507121479959
2026-09-25,0.03561643835616438,755.0,call,12.825,12.52,13.13,515.0,511,0.12799944274902342,0.9878449563720285,0.11130745364381148,0.7450624237391321,0.019998172021958596,46.31070206382207,-94.14491925514157,19.8247771640955
2026-09-25,0.03561643835616438,758.0,call,10.780000000000001,10.67,10.89,140.0,407,0.12305564453125001,0.9917701681192022,0.11268595578085966,0.6789464801338804,0.02203198873812066,51.65237686294409,-101.5940349855139,18.097851712444783
2026-09-25,0.03561643835616438,760.0,call,9.364999999999998,9.28,9.45,395.0,794,0.11921046813964843,0.9943869759506512,0.1104768674015679,0.6357956252228398,0.023570684072608334,54.17642652201836,-102.6716640588395,16.973627170068525
2026-09-25,0.03561643835616438,761.0,call,8.7,8.61,8.79,155.0,551,0.11783719085693359,0.9956953798663757,0.10957314559235715,0.6126942975073013,0.02422799469363733,55.23170076330032,-102.94273618297146,16.368464233758893
2026-09-25,0.03561643835616438,762.0,call,8.0,7.97,8.03,183.0,814,0.11441925628662111,0.9970037837821003,0.10764168029239429,0.5895840433611044,0.025044276760962537,56.086169538988194,-102.07258803491209,15.764305075162756
2026-09-25,0.03561643835616438,763.0,call,7.37,7.34,7.4,291.0,521,0.11286287536621094,0.9983121876978248,0.10655373578160127,0.5648838012207678,0.025613141260414248,56.780386301503896,-101.54037446902512,15.114370866857715
2026-09-25,0.03561643835616438,764.0,call,6.77,6.74,6.8,355.0,425,0.11142856353759764,0.9996205916135493,0.10556381172088948,0.5394167158199394,0.02607263144637019,57.26203084279869,-100.72691347329906,14.442493426520038
2026-09-25,0.03561643835616438,765.0,call,6.195,6.17,6.22,2328.0,1862,0.10993321716308593,1.000928995529274,0.10456728843949681,0.5133364001703236,0.026435531886225192,57.51097319213255,-99.5338007828439,13.753033583903264
2026-09-25,0.03561643835616438,766.0,call,5.645,5.62,5.67,835.0,1969,0.10852942260742188,1.0022373994449985,0.10355141259649904,0.4867277500500214,0.026695017027390678,57.51128182691432,-97.9398116988711,13.048300928799643
2026-09-25,0.03561643835616438,767.0,call,5.125,5.1,5.15,643.0,2056,0.10718666259765625,1.003545803360723,0.10259093636721124,0.4597149439064472,0.02682229143153168,57.24949869419588,-95.99981164739174,12.331498128693136
2026-09-25,0.03561643835616438,768.0,call,4.625,4.6,4.65,679.0,2186,0.10578286804199218,1.0048542072764475,0.10150033789885075,0.4323224382192002,0.026856491436616396,56.71312531590731,-93.55936666997145,11.603647120280014
2026-09-25,0.03561643835616438,769.0,call,4.165,4.14,4.19,751.0,679,0.10459269439697264,1.006162611192172,0.10062379740549832,0.40491801381121945,0.02670248810132976,55.90095800254578,-90.91265007926138,10.874046749759854
