a,b,rho,m,sigma,rmse_variance,converged,n_points,expiry,T,rmse_iv
1e-06,0.008963206020668364,-3.0128119812205626e-06,0.012443280215887496,0.028212280402872245,0.00011898452840845398,True,39,2026-09-15,0.00821917808219178,0.035144638878775794
9.540510985042323e-05,0.012067589443354221,1.961871365367977e-05,0.01733592325183405,0.029773472958381352,8.640049336770203e-05,True,39,2026-09-22,0.0273972602739726,0.010834594901006684
1e-06,0.015748393923341982,-1.0592647249686986e-05,0.018771884581248195,0.057696374852467154,0.0004089840528819557,True,54,2026-09-29,0.04657534246575343,0.022609831369424058
0.0003568649957453815,0.018588090038129144,1.6432721961799552e-05,0.021889300246624516,0.025402021613926382,2.895591324366079e-05,True,24,2026-10-06,0.06575342465753424,0.0016309322846127677
0.0006736810790315494,0.023433751080965664,-0.0003552825249682864,0.031044819095913216,0.01401601534022424,0.00024670424039763907,True,10,2026-10-13,0.08493150684931507,0.010168944917797292
0.0003000874602758114,0.026836029800931055,7.87403022958794e-05,0.031698383024887186,0.04459306650400507,4.330073106689977e-05,True,42,2026-10-27,0.1232876712328767,0.0013027792136574392
