a,b,rho,m,sigma,rmse_variance,converged,n_points,expiry,T,rmse_iv
1e-06,0.00724492966733479,-1.3259899019039273e-06,0.022285955955970285,0.03810968550105498,0.00011413432537981072,True,40,2026-09-18,0.01643835616438356,0.024318253936134418
0.00021665209277677385,0.005903340095453071,-1.258086417989622e-05,0.025681224848951398,0.013609331218688639,7.544485528709297e-06,True,41,2026-09-25,0.03561643835616438,0.0010419187889111848
0.0002556228562098693,0.006507110733684141,-1.8858164846415813e-05,0.030211125193209516,0.026529146540710813,4.120794017728237e-05,True,62,2026-09-30,0.049315068493150684,0.0037091533018759402
0.00027657376010634886,0.008076765324067491,-1.820340222427408e-05,0.03492544194507773,0.029736740840516078,3.5394197717847655e-05,True,54,2026-10-02,0.0547945205479452,0.0029456982581990243
