expiry,T,strike,option_type,mid_price,open_interest,underlying_spot,moneyness,iv,delta,gamma,vega,theta,rho
2026-10-06,0.06575342465753424,23500.0,call,279.3,82225,23398.1,1.0043550544702349,0.12025584399005548,0.49639114340458657,0.0005525401361353698,2391.936157180037,-2807.9442370036018,745.3354266951492
2026-09-29,0.04657534246575343,24900.0,call,8.4,531830,23398.1,1.0641889726088871,0.1455874359283353,0.02984823217799901,9.215797437359336e-05,342.116531379828,-572.5676744462874,32.13661007881785
2026-09-29,0.04657534246575343,24800.0,call,9.6,1082770,23398.1,1.0599151213132691,0.1406653503683083,0.03457497782198639,0.00010768933098504206,386.2576141868365,-627.1517910464719,37.23180659661647
2026-09-29,0.04657534246575343,24700.0,call,11.3,1580345,23398.1,1.0556412700176512,0.136274719790783,0.04096685678445374,0.00012766864492570726,443.62579326201694,-700.9875642016071,44.118336917814226
2026-09-29,0.04657534246575343,24400.0,call,19.25,2890680,23398.1,1.042819716130797,0.12294893494664955,0.07069869177636079,0.00021790071489784007,683.1257695158371,-991.3834846437003,76.14905758800869
2026-09-22,0.0273972602739726,25300.0,call,1.8,499265,23398.1,1.0812843777913592,0.18928119107674396,0.007534108933652137,2.8362557969471374e-05,80.52322823163824,-287.73657967399714,4.780378923761025
2026-09-15,0.00821917808219178,24100.0,call,2.45,5814250,23398.1,1.029998162243943,0.1561209166814958,0.020217267776019923,0.00014754567734411416,103.65187410061635,-1010.2769849408795,3.867909477534434
2026-09-15,0.00821917808219178,23500.0,call,72.75,9299940,23398.1,1.0043550544702349,0.1327454171130214,0.37539736632499215,0.0013470038287152213,804.5961356801122,-6975.760784404168,71.59590506714929
2026-09-15,0.00821917808219178,23250.0,call,237.65,1402895,23398.1,0.9936704262311897,0.17163263730570677,0.6717508445086726,0.0009924241888829744,766.4552311682005,-8851.573794970107,127.2332337118767
2026-09-29,0.04657534246575343,23200.0,call,418.85,315770,23398.1,0.9915335005833807,0.1353198246704022,0.652707176418328,0.0005400954140833298,1863.5847958117995,-3519.9668054631884,691.7955695551838
2026-10-27,0.1232876712328767,25200.0,call,25.7,168870,23398.1,1.0770105264957412,0.12210315948524733,0.06039637277982066,0.00011933018640152034,983.4630680930111,-563.0604422042364,171.05675796911746
2026-10-27,0.1232876712328767,24550.0,call,70.1,38935,23398.1,1.049230493074224,0.11150637253420753,0.15022720099572603,0.00025466614359018257,1916.6893709163144,-1055.5360293820127,424.7175292821606
2026-10-27,0.1232876712328767,22000.0,call,1614.2,68120,23398.1,0.9402472850359646,0.16044646623850273,0.8918147451504667,0.00013974730706769822,1513.4024719477416,-2027.5197000470303,2373.604590882138
2026-10-13,0.08493150684931507,23500.0,call,328.7,9360,23398.1,1.0043550544702349,0.11955273159138523,0.5102436135177512,0.0004887774077193388,2717.068841383362,-2547.588027684813,986.0574351429185
2026-10-06,0.06575342465753424,23850.0,call,132.9,7930,23398.1,1.019313534004898,0.11545917090575467,0.3051167657782806,0.0005055458596492246,2101.2056274397514,-2228.812034666104,460.68510304865856
2026-09-15,0.00821917808219178,24550.0,call,1.0,917475,23398.1,1.049230493074224,0.21221671758596772,0.0068555373047940234,4.249803682215201e-05,40.5824289647495,-532.6704437122962,1.3101908076351843
2026-09-22,0.0273972602739726,23300.0,call,281.35,755235,23398.1,0.9958073518789988,0.13506803543142193,0.6049102885922706,0.0007358361398251065,1490.7403889887512,-4434.8311844341915,380.0657924247987
2026-09-22,0.0273972602739726,24400.0,call,6.7,1058915,23398.1,1.042819716130797,0.13249996495687205,0.03345851354683817,0.0001450977281108982,288.366427379457,-739.927993312505,21.26481221697902
2026-09-29,0.04657534246575343,25300.0,call,5.65,471965,23398.1,1.0812843777913592,0.16676692158853476,0.018652345641839423,5.418310697795137e-05,230.40455426281912,-436.1277853477496,20.063697761490946
2026-09-29,0.04657534246575343,24250.0,call,27.2,359580,23398.1,1.0364089391873699,0.11782702887730483,0.09797603574734483,0.00029054893099744104,872.9340839822975,-1228.4980595015297,105.50493773741363
2026-09-29,0.04657534246575343,23650.0,call,151.75,241085,23398.1,1.0107658314136618,0.11629780630966606,0.3773306323291648,0.000646747456164761,1917.8891156165473,-2870.1889416996346,404.13750068814767
2026-09-29,0.04657534246575343,23500.0,call,222.15,3196635,23398.1,1.0043550544702349,0.12030774919150043,0.4775572581487816,0.0006553619512368111,2010.444404224446,-3196.6940414481933,510.08302285493363
2026-09-29,0.04657534246575343,23450.0,call,252.35,171860,23398.1,1.002218128822426,0.12333047085099756,0.5102559078256518,0.000640071524305527,2012.8719069109097,-3305.263299725898,544.3105996347781
2026-09-29,0.04657534246575343,23400.0,call,280.3,1867125,23398.1,1.000081203174617,0.12444693426958785,0.5418711283505815,0.000631008174314389,2002.3335767253877,-3354.1784713042384,577.4622612147074
2026-09-22,0.0273972602739726,24100.0,call,14.9,1340365,23398.1,1.029998162243943,0.11658444606102868,0.07435765156860266,0.00031143889344872975,544.6051980993655,-1253.4600671871258,47.25829498862919
2026-09-22,0.0273972602739726,24800.0,call,2.8,1535495,23398.1,1.0599151213132691,0.1539879306289898,0.013510678550989684,5.802875608490186e-05,134.02884184670452,-393.86336943925954,8.584224871156952
2026-09-22,0.0273972602739726,25000.0,call,2.4,4102930,23398.1,1.068462823904505,0.1691925956217187,0.010811896485395461,4.3536423222176256e-05,110.48477113846916,-354.90877593544775,6.865146168596454
2026-09-29,0.04657534246575343,21000.0,call,2484.25,512850,23398.1,0.8975087720797843,0.31673682217099247,0.9504481055430298,6.353572697073042e-05,513.1375555455334,-2806.453758792482,920.0693365424263
2026-09-29,0.04657534246575343,24300.0,call,24.3,4484870,23398.1,1.038545864835179,0.1196438912939712,0.0880420074706888,0.0002643930053460519,806.5991007148913,-1147.727220199449,94.81415601503586
2026-10-06,0.06575342465753424,23600.0,call,229.6,34255,23398.1,1.0086289057658528,0.11848493883440352,0.4406567656062854,0.0005546621023561213,2365.7628346407205,-2683.6583683130934,662.8557419235531
2026-10-06,0.06575342465753424,23750.0,call,166.8,7540,23398.1,1.0150396827092798,0.11636580201469333,0.3576351767809316,0.00053439624619588,2238.5578837550356,-2430.218517510367,539.2559116019698
2026-10-27,0.1232876712328767,24100.0,call,161.9,358345,23398.1,1.029998162243943,0.111910544962683,0.2873912773601892,0.00037048461498855766,2798.4788131745613,-1629.435057295065,809.0765756761481
2026-10-27,0.1232876712328767,24600.0,call,64.0,321230,23398.1,1.051367418722033,0.11185465119378137,0.13920453519608558,0.0002411744629381262,1820.8165943453355,-1000.9637068052666,393.67248137622653
2026-09-15,0.00821917808219178,24500.0,call,1.05,10113610,23398.1,1.047093567426415,0.20536566622319083,0.007382362029382734,4.688014050130933e-05,43.32178261525233,-550.6544890370361,1.4110951659788458
2026-09-15,0.00821917808219178,23900.0,call,4.85,6904625,23398.1,1.021450459652707,0.1325770358494649,0.04251652894349859,0.00032194845597214233,192.06322953342806,-1603.408812315693,8.136624765273282
2026-09-15,0.00821917808219178,23600.0,call,37.0,7902895,23398.1,1.0086289057658528,0.12519315248187793,0.23836983999919675,0.0011662033183460322,656.9683145363462,-5307.768077525813,45.53754475364457
2026-09-15,0.00821917808219178,23200.0,call,280.2,1161355,23398.1,0.9915335005833807,0.18276692076299056,0.7083389976547102,0.0008851219116676207,727.9310803823954,-8986.716698121165,133.91989100616183
2026-09-22,0.0273972602739726,23650.0,call,95.4,493350,23398.1,1.0107658314136618,0.1183297228644947,0.3226689365761682,0.0007829144240725632,1389.5573086107606,-3409.813447487919,204.23123411948845
2026-09-22,0.0273972602739726,23800.0,call,53.45,2156505,23398.1,1.0171766083570888,0.11586982626991918,0.21184469982093784,0.000645459664394494,1121.7802373482127,-2641.2915280354428,134.33735746192357
2026-10-27,0.1232876712328767,25050.0,call,30.8,28080,23398.1,1.070599749552314,0.11833691182424222,0.072351626892753,0.00014161357266424387,1131.112874901652,-633.9528459039657,204.91527956065565
2026-10-27,0.1232876712328767,23000.0,call,756.2,311350,23398.1,0.9829857979921447,0.13097587809748773,0.7057668507615121,0.00031943205748530246,2823.908706428229,-2359.0988702669342,1942.693564390322
2026-10-13,0.08493150684931507,23700.0,call,229.75,8515,23398.1,1.0129027570614708,0.11587680102284727,0.41086470259354796,0.0004919181742735351,2650.4485628976436,-2321.883759534773,796.9721059249131
2026-10-06,0.06575342465753424,23900.0,call,114.7,49920,23398.1,1.021450459652707,0.11341901723600853,0.2771241128707693,0.000492026859148402,2008.8811961443,-2081.748145020832,418.81497240696274
2026-10-06,0.06575342465753424,23300.0,call,396.65,12935,23398.1,0.9958073518789988,0.12455263746678102,0.6024612068978291,0.0005156651620148104,2312.066296251701,-2939.3242813468855,900.8085709018501
2026-09-29,0.04657534246575343,25100.0,call,6.85,330785,23398.1,1.072736675200123,0.15638955020837197,0.02341957770093313,7.005333469941119e-05,279.3532874443265,-498.69613020116276,25.20301776531815
2026-09-29,0.04657534246575343,23800.0,call,98.7,2968355,23398.1,1.0171766083570888,0.11343904363074621,0.2812384465441685,0.000588770105264264,1703.042748812848,-2429.476981741821,301.88949270631053
2026-09-29,0.04657534246575343,23550.0,call,195.9,182780,23398.1,1.0064919801180439,0.1184235490779542,0.44404996481506237,0.0006603037199537281,1993.8801916596692,-3093.5554779079775,474.7902281406688
2026-09-29,0.04657534246575343,23250.0,call,382.75,556205,23398.1,0.9936704262311897,0.13281886768078863,0.627200801154602,0.0005639259163279873,1909.8491677639313,-3505.420827549068,665.6807400244172
2026-09-22,0.0273972602739726,24900.0,call,2.4,1457495,23398.1,1.0641889726088871,0.16007130302035066,0.011361198997579714,4.804395135944511e-05,115.35077583488514,-351.4390449775604,7.217273159437932
2026-09-22,0.0273972602739726,23950.0,call,27.9,512915,23398.1,1.023587385300516,0.11462590216114435,0.12713655343855432,0.0004691769942329124,806.6549375657289,-1849.2577451139289,80.73572030111411
2026-09-22,0.0273972602739726,23750.0,call,65.2,395915,23398.1,1.0150396827092798,0.11639960350113701,0.2459886152891886,0.0006987672295169257,1219.978989841245,-2903.916180859293,155.90318348942841
2026-09-22,0.0273972602739726,23100.0,call,431.2,219375,23398.1,0.9872596492877628,0.14805841713410475,0.724531220005521,0.0005820274251524101,1292.5426197873749,-4396.903567878701,452.64256907153356
2026-09-15,0.00821917808219178,24350.0,call,1.35,1061970,23398.1,1.040682790482988,0.1865774689813232,0.010107431836876658,6.797099298636557e-05,57.06533717647171,-660.618417644269,1.9326961713364719
2026-09-15,0.00821917808219178,24000.0,call,3.4,13668460,23398.1,1.025724310948325,0.14455388226471863,0.028909084637663115,0.00021517434602953876,139.96189934700965,-1267.7641560790405,5.531651948570141
2026-09-15,0.00821917808219178,23400.0,call,127.8,6159140,23398.1,1.000081203174617,0.14587434578098227,0.5137801826985962,0.0012883678541972426,845.6845128923716,-8157.497971032951,97.75627474367276
2026-09-22,0.0273972602739726,24700.0,call,3.4,962325,23398.1,1.0556412700176512,0.14849573767681237,0.016605068879642346,7.184570818171505e-05,160.0232694030965,-454.8186036124642,10.551426358988014
2026-09-22,0.0273972602739726,24150.0,call,12.7,385190,23398.1,1.032135087891752,0.1187582668755671,0.0639134925919143,0.0002720738112150151,484.6396164814628,-1131.802522679905,40.62340524151928
2026-10-27,0.1232876712328767,24350.0,call,101.0,35685,23398.1,1.040682790482988,0.11057953499848494,0.20217667173087847,0.0003100188833300403,2313.895501662572,-1291.3081406093856,570.7663708562221
2026-10-27,0.1232876712328767,23300.0,call,541.35,87230,23398.1,0.9958073518789988,0.12313963924983465,0.6078299298852295,0.0003791757274979322,3151.5139979812475,-2320.8908686241316,1686.6636201805318
2026-10-13,0.08493150684931507,24800.0,call,25.75,9100,23398.1,1.0599151213132691,0.12313262965259093,0.07025649063060836,0.00016033219079280417,917.9602936367096,-754.1626516032316,137.42923340332052
2026-10-06,0.06575342465753424,24600.0,call,22.6,35620,23398.1,1.051367418722033,0.12191340341418902,0.07059572870480561,0.00018473327114911165,810.7298039274286,-840.9672593482446,107.12586869110713
2026-10-06,0.06575342465753424,23950.0,call,100.4,12675,23398.1,1.023587385300516,0.11260801292341921,0.2519963389405473,0.0004721779538481243,1914.0556638371106,-1956.753866744325,381.0960350426647
2026-09-29,0.04657534246575343,24850.0,call,8.8,255515,23398.1,1.0620520469610781,0.14265390697211575,0.03164853597776025,9.872602036925284e-05,359.1141716666176,-590.1151664705352,34.07990515635871
2026-09-29,0.04657534246575343,24100.0,call,40.65,1846130,23398.1,1.029998162243943,0.11437009345347784,0.13970335222818767,0.0003847846277430093,1122.141003406731,-1554.9022770308372,150.35187502494736
2026-09-29,0.04657534246575343,24000.0,call,54.8,8507915,23398.1,1.025724310948325,0.11348279070965436,0.1786427929295401,0.00045565213616143816,1318.5015973451702,-1832.6250353557157,192.12802864944382
2026-09-29,0.04657534246575343,23900.0,call,73.45,1961115,23398.1,1.021450459652707,0.11294135652253366,0.22548260876481255,0.0005264076788044506,1515.97646084811,-2123.4571237820637,242.3042430441773
2026-09-22,0.0273972602739726,24200.0,call,10.65,1332565,23398.1,1.0342720135395609,0.12047310969080299,0.05430337162456266,0.00023601615263443544,426.4814717300343,-1006.8672827273682,34.51905938687163
2026-09-22,0.0273972602739726,23450.0,call,188.75,958815,23398.1,1.002218128822426,0.12745160822444895,0.49066994603128206,0.0008077857910271008,1544.2224095939666,-4211.020935026287,309.36971136655825
2026-09-22,0.0273972602739726,23400.0,call,218.3,2068625,23398.1,1.000081203174617,0.13035194596737731,0.530488647799856,0.0007876921002233668,1540.0766273661186,-4332.2176924570795,334.0856584784168
2026-09-15,0.00821917808219178,24750.0,call,0.75,955695,23398.1,1.0577781956654602,0.23622316710577354,0.004784060009090716,2.774294410678699e-05,29.489309978116044,-429.87637574463633,0.9138732724502109
2026-09-15,0.00821917808219178,24250.0,call,1.55,1800240,23398.1,1.0364089391873699,0.1726236767271495,0.012274743203565251,8.698545058145208e-05,67.56729857785521,-725.238255133562,2.347854812904805
2026-09-15,0.00821917808219178,24200.0,call,1.75,5455840,23398.1,1.0342720135395609,0.16659768499523564,0.01413037148049466,0.00010179096117803026,76.30759276253,-791.4245498847703,2.703072704933461
2026-09-15,0.00821917808219178,23850.0,call,6.25,3011775,23398.1,1.019313534004898,0.12809384245485453,0.054516521456205155,0.00040654268151045595,234.3278871275746,-1895.7216841281636,10.432874275829402
2026-09-29,0.04657534246575343,26500.0,call,1.6,887055,23398.1,1.1325705933387755,0.2158068685153149,0.004732000493019138,1.2632530064523589e-05,69.51409064043469,-167.03237294873747,5.082292295985175
2026-09-29,0.04657534246575343,25400.0,call,5.2,204165,23398.1,1.0855582290869772,0.17204720599471654,0.016850725571051408,4.8160044556720685e-05,211.27676897697515,-411.5705286905473,18.121297528220342
2026-09-29,0.04657534246575343,24950.0,call,7.9,103740,23398.1,1.066325898256696,0.14810574381105374,0.02785909060193299,8.55434091382011e-05,323.0544279573958,-548.9814432396071,29.992181926495796
2026-09-29,0.04657534246575343,23850.0,call,86.8,257595,23398.1,1.019313534004898,0.11406903337060234,0.25428537859254724,0.0005565352068808905,1618.742044781545,-2303.850950937336,273.0709866622618
2026-09-22,0.0273972602739726,24350.0,call,7.4,329745,23398.1,1.040682790482988,0.12924560744298855,0.037291168486921884,0.00016258821399510082,315.1905394432282,-790.9589543991001,23.702534018530617
2026-09-22,0.0273972602739726,23550.0,call,137.05,328315,23398.1,1.0064919801180439,0.1224420702118387,0.4070676906884674,0.0008181896475899055,1502.6331479034259,-3872.6809413483006,257.19343610774627
2026-09-15,0.00821917808219178,25500.0,call,0.4,1740115,23398.1,1.0898320803825952,0.32620718067816606,0.0019964136544809896,9.147516672951582e-06,13.427226107648574,-268.9966778867161,0.3806489017904999
2026-09-15,0.00821917808219178,24800.0,call,0.7,3025555,23398.1,1.0599151213132691,0.24203592657903678,0.0043928196541961045,2.50912434900616e-05,27.326977292721143,-407.96597501996325,0.8390436187837511
2026-09-15,0.00821917808219178,24150.0,call,2.2,2113085,23398.1,1.032135087891752,0.1628841602099525,0.017691765997694966,0.00012624482088414185,92.52988008382515,-939.4832726138438,3.3842770702269283
2026-09-15,0.00821917808219178,23300.0,call,198.4,2777060,23398.1,0.9958073518789988,0.16264432181673227,0.6265880901461914,0.0010974649488055025,803.1915673588625,-8740.392382394404,118.87044486320866
